Command sent time(UTC),Measurement received time (UTC),Device,Device time (UTC),Particulate measurement,Connected OpenHAP units
2021-06-24 14:15:05,2021-06-24 14:15:09,40:f5:20:5b:20:c0,2021-06-24 14:15:04,6.55,21
2021-06-24 14:15:05,2021-06-24 14:15:09,40:f5:20:5b:20:ec,2021-06-24 14:15:04,8.05,21
2021-06-24 14:15:05,2021-06-24 14:15:09,40:f5:20:5b:21:94,2021-06-24 14:15:04,7.85,21
2021-06-24 14:15:05,2021-06-24 14:15:09,40:f5:20:5b:21:8c,2021-06-24 14:15:04,5.95,21
2021-06-24 14:15:05,2021-06-24 14:15:09,40:f5:20:5b:21:d8,2021-06-24 14:15:04,6.2,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:20:dc,2021-06-24 14:15:04,7.3,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:20:f4,2021-06-24 14:15:04,7.45,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:21:9c,2021-06-24 14:15:05,6.95,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:20:d8,2021-06-24 14:15:04,6.3,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:20:e4,2021-06-24 14:15:04,6.6,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:20:c4,2021-06-24 14:15:04,6.35,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:21:a4,2021-06-24 14:15:05,6.05,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:21:c8,2021-06-24 14:15:04,6.55,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:20:e8,2021-06-24 14:15:04,7.4,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:21:cc,2036-02-06 06:28:16,6.6,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:21:74,2021-06-24 14:15:04,6.75,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:21:d0,2021-06-24 14:15:04,6.05,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:20:e0,2021-06-24 14:15:03,6.95,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:21:00,2021-06-24 14:15:04,7.35,21
2021-06-24 14:15:05,2021-06-24 14:15:10,40:f5:20:5b:20:bc,2021-06-24 14:15:04,6.95,21
2021-06-24 14:15:13,2021-06-24 14:15:19,40:f5:20:5b:21:8c,2021-06-24 14:15:14,6.15,21
2021-06-24 14:15:13,2021-06-24 14:15:19,40:f5:20:5b:21:d8,2021-06-24 14:15:14,6.15,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:20:dc,2021-06-24 14:15:14,7.4,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:21:9c,2021-06-24 14:15:15,6.95,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:20:f4,2021-06-24 14:15:14,7.3,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:20:d8,2021-06-24 14:15:15,6.1,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:20:c4,2021-06-24 14:15:14,6.65,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:20:e4,2021-06-24 14:15:14,6.75,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:21:a4,2021-06-24 14:15:15,5.9,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:20:e8,2021-06-24 14:15:14,7.2,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:21:c8,2021-06-24 14:15:14,6.8,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:21:cc,2036-02-06 06:28:16,6.75,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:21:74,2021-06-24 14:15:14,6.85,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:21:d0,2021-06-24 14:15:14,6.25,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:21:00,2021-06-24 14:15:14,7.8,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:20:e0,2021-06-24 14:15:14,6.75,21
2021-06-24 14:15:13,2021-06-24 14:15:20,40:f5:20:5b:20:bc,2021-06-24 14:15:14,7.25,21
