Command sent time(UTC),Measurement received time (UTC),Device,Device time (UTC),Particulate measurement,Connected OpenHAP units
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:21:d0,2021-06-24 12:36:46,5.15,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:21:c8,2021-06-24 12:36:46,5.3,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:dc,2021-06-24 12:36:46,5.6,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:21:74,2021-06-24 12:36:46,5.5,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:e4,2021-06-24 12:36:47,5.95,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:ec,2021-06-24 12:36:46,5.8,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:21:94,2021-06-24 12:36:47,5.8,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:e0,2021-06-24 12:36:46,5.7,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:21:8c,2021-06-24 12:36:46,5.65,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:bc,2021-06-24 12:36:46,5.65,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:f4,2021-06-24 12:36:47,6.4,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:c0,2021-06-24 12:36:46,5.15,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:21:cc,2036-02-06 06:28:16,5.95,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:d8,2021-06-24 12:36:47,5.2,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:e8,2021-06-24 12:36:46,6.3,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:21:00,2021-06-24 12:36:46,6.3,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:21:d8,2021-06-24 12:36:46,4.8,19
2021-06-24 12:36:47,2021-06-24 12:36:52,40:f5:20:5b:20:c4,2021-06-24 12:36:46,5.6,19
2021-06-24 12:36:55,2021-06-24 12:37:01,40:f5:20:5b:21:d0,2021-06-24 12:36:56,5.25,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:21:c8,2021-06-24 12:36:56,5.4,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:dc,2021-06-24 12:36:56,5.75,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:21:74,2021-06-24 12:36:56,5.6,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:e4,2021-06-24 12:36:57,5.95,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:ec,2021-06-24 12:36:56,5.8,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:21:94,2021-06-24 12:36:57,6.05,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:e0,2021-06-24 12:36:56,5.75,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:bc,2021-06-24 12:36:56,5.8,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:21:8c,2021-06-24 12:36:56,5.65,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:f4,2021-06-24 12:36:57,6.45,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:c0,2021-06-24 12:36:56,5.05,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:21:cc,2036-02-06 06:28:16,6.15,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:d8,2021-06-24 12:36:57,5.5,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:21:00,2021-06-24 12:36:56,6.25,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:e8,2021-06-24 12:36:57,6.4,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:21:d8,2021-06-24 12:36:57,4.75,19
2021-06-24 12:36:55,2021-06-24 12:37:02,40:f5:20:5b:20:c4,2021-06-24 12:36:56,5.45,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:21:8c,2021-06-24 12:37:05,5.6,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:20:f4,2021-06-24 12:37:05,6.45,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:20:c0,2021-06-24 12:37:05,5.35,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:21:cc,2036-02-06 06:28:16,6.25,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:20:d8,2021-06-24 12:37:05,5.45,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:21:00,2021-06-24 12:37:05,6.35,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:20:e8,2021-06-24 12:37:05,6.5,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:20:c4,2021-06-24 12:37:05,5.45,19
2021-06-24 12:37:04,2021-06-24 12:37:10,40:f5:20:5b:21:d8,2021-06-24 12:37:05,4.9,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:21:d0,2021-06-24 12:37:04,4.95,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:21:c8,2021-06-24 12:37:05,5.25,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:20:dc,2021-06-24 12:37:05,5.75,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:21:74,2021-06-24 12:37:05,5.6,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:20:e4,2021-06-24 12:37:05,5.55,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:21:94,2021-06-24 12:37:05,6.25,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:20:ec,2021-06-24 12:37:05,6.0,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:20:e0,2021-06-24 12:37:04,5.7,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:21:a4,2021-06-24 12:37:06,4.95,19
2021-06-24 12:37:04,2021-06-24 12:37:11,40:f5:20:5b:20:bc,2021-06-24 12:37:05,5.65,19
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:20:f4,2021-06-24 12:37:13,6.2,20
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:21:8c,2021-06-24 12:37:13,5.5,20
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:20:c0,2021-06-24 12:37:13,5.7,20
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:21:cc,2036-02-06 06:28:16,5.95,20
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:21:00,2021-06-24 12:37:13,6.25,20
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:20:d8,2021-06-24 12:37:13,5.4,20
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:20:c4,2021-06-24 12:37:13,5.45,20
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:20:e8,2021-06-24 12:37:13,6.25,20
2021-06-24 12:37:12,2021-06-24 12:37:18,40:f5:20:5b:21:d8,2021-06-24 12:37:13,4.85,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:21:d0,2021-06-24 12:37:12,4.85,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:21:c8,2021-06-24 12:37:13,5.25,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:20:dc,2021-06-24 12:37:13,5.7,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:21:74,2021-06-24 12:37:13,5.6,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:21:94,2021-06-24 12:37:13,6.5,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:20:e4,2021-06-24 12:37:13,5.5,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:20:ec,2021-06-24 12:37:13,5.85,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:20:e0,2021-06-24 12:37:12,5.65,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:21:a4,2021-06-24 12:37:14,4.85,20
2021-06-24 12:37:12,2021-06-24 12:37:19,40:f5:20:5b:20:bc,2021-06-24 12:37:13,5.5,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:d0,2021-06-24 12:37:21,4.7,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:c8,2021-06-24 12:37:21,5.1,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:e4,2021-06-24 12:37:22,5.55,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:94,2021-06-24 12:37:22,6.65,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:dc,2021-06-24 12:37:21,5.75,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:74,2021-06-24 12:37:21,5.45,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:ec,2021-06-24 12:37:21,5.8,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:e0,2021-06-24 12:37:21,5.65,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:bc,2021-06-24 12:37:21,5.5,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:f4,2021-06-24 12:37:22,6.2,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:a4,2021-06-24 12:37:22,4.8,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:c0,2021-06-24 12:37:21,5.7,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:8c,2021-06-24 12:37:21,5.6,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:cc,2036-02-06 06:28:16,6.1,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:00,2021-06-24 12:37:21,6.3,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:c4,2021-06-24 12:37:21,5.5,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:d8,2021-06-24 12:37:22,5.2,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:20:e8,2021-06-24 12:37:22,6.2,20
2021-06-24 12:37:20,2021-06-24 12:37:27,40:f5:20:5b:21:d8,2021-06-24 12:37:22,4.95,20
2021-06-24 12:37:29,2021-06-24 12:37:35,40:f5:20:5b:20:c0,2021-06-24 12:37:30,5.7,20
2021-06-24 12:37:29,2021-06-24 12:37:35,40:f5:20:5b:21:cc,2036-02-06 06:28:16,5.9,20
2021-06-24 12:37:29,2021-06-24 12:37:35,40:f5:20:5b:21:00,2021-06-24 12:37:30,6.15,20
2021-06-24 12:37:29,2021-06-24 12:37:35,40:f5:20:5b:21:8c,2021-06-24 12:37:30,5.7,20
2021-06-24 12:37:29,2021-06-24 12:37:35,40:f5:20:5b:20:c4,2021-06-24 12:37:30,5.65,20
